site_id,notes
195,"Entity HC-1 (entity_id = 414): Published age model was only available in a figure. Age model was re-calculated following methods in Mangini et al. (2007). Depths of isotopes were originally given in distance from base but were converted to distance from top with base = 745mm."
196,"Entity K1 (entity_id = 416): Decay constants are: 230Th = 9.15771 e-6 yr-1, 232Th = 4.9475 e-11 yr-1, 234U = 2.82629 e-6 yr-1, 238U = 1.55125 e-10 yr-1."
197,"Entity KC1 (entity_id = 417): Majority of dating samples were analysed using MC-ICP-MS while some others were analysed using single collector ICP-MS (publication did not specify which ones). U234/U238 activity ratios were converted from d234U (see Toth et al., 2015 for methods; DOI: 10.1038/NCLIMATE2541). Decay constants follows Cheng et al. 2008. The interp_age_uncert_pos and interp_age_uncert_neg are average uncertainties over the entire speleothem."
198,"Entity LH-2 (entity_id = 496): The original age model has age inversions at depths: 746.8 and 748.0 mm. The interp_age at depth 748.0 mm was altered to be the average of the two neighbouring samples."
199,"Entity Lynds BCD (entity_id = 421): Half lives are: 234U = 244600 yr, 230Th = 75380 yr."
200,"Entity MC08-1 (entity_id = 422): Analytical precision of isotope is better than 0.1 per mil. Three hiatuses are present at ~28, 31 and 112 mm from visual identification from figures."
201,"Entity MND-S1 (entity_id = 423): Date marked as other is constrained by the construction date of the boardwalk on which the stalagmite grew on. Original chronology constructed by counting trace elements cycles. Each year's depth anchored using Ba values. Isotope anchored to an annually resolved laminae chronology (see Treble et al, 2003). Author suggested to increase the uncertainties to +/- 2.5 years."
204,"Although Publication supplied precision of d18O as 0.06 permil, this has been entered as 0.07 permil for both d13C and d18O as following Breitenbach and Bernasconi (2011) (DOI: 10.1002/rcm.5052). Decay constants could either be Cheng et al. 2000 or Cheng et al. 2013. The age model for the speleothem is based on a parabolic curve fit to the 230Th dates and the collection date. There are 15 repeated interp_age which were adjusted by 0.0001."
208,"Entity TA12-2 (entity_id = 436): Depths below the hiatus at 440mm are estimated. More details in the paper. d13C must be treated with caution because of a lack of significant testing on the aragonite-calcite correction by original authors. Some samples' mineralogy (sample_id= 282113, 282368, 282369, 282370, 282371, 282899, 282900, 282901, 282902, 282903, 282904, 282905) has been assumed to be aragonite  (the primary fabric) in the absence of a definite mineralogy."
213,"Entity 1152 (entity_id = 457): material_dated in dating table is determined as other and mineralogy in the sample table is mixed because the entity has a mixed aragonite-calcite mineralogy."
214,"Entity C126-117 and C126-118 (entity_id = 458, 459): d13C_precision and d18O_precision are better than 0.1 permil at 1 sigma range."
217,"Entity EM1 (entity_id = 463): Laminae counting is based on confocal imaging. Elevated detrital 232Th levels of 2-4 x 10^3 ppt resulted in large dating uncertainties between 172-438 years for 230Th dates and hinder precise age model. The age model can only be used as a reference. The chronology is based on lamina counting."
218,"Entity NH6 and NH33 (entity_id = 465, 466): Depth information is not available."
220,"Entity BN-1 (entity_id = 468): Depths for U/Th dates are not available."
223,"Entity WXSM-51, WXSM-52 (entity_id = 679, 680): Age corrections were made assuming that initial U and Th were derived from crustal silicates with a 232Th/238U= 1.2 +/- 0.6, 234U/238U = 1.0 +/- 0.1, and 230Th/238U= 1.0 +/- 0.1."
227,"According to Paul S. Wilcox, the offset between U/Th dates and isotope ages in the upper part of EC-16-5-F (entity_id = 505) is an artefact of Oxcal."
228,"Initial 230Th/232Th ratios in BC-11 (entity_id = 506) were corrected using an empirical relationship between Th concentration and initial 230Th/232Th ratios. See publication for details. Weighted average U/Th ages at the same depth were used for the age-depth model of entity_id = 506. BC-11 (entity_id = 506) has apparent continuous annual banding, with all dates (except 2) falling within the band-counted age model. Laminae depths not provided. Depth_lam in BC-11 (entity_id = 506) were calculated from cumulative sum of laminae thicknesses, which results in a slight offset between depth_lam and depth_sample. Error of laminae thickness measurements given as ± 10%. Depth of date_type=""event; start of laminations"" in BC-11 (entity_id = 506) was assumed from cumulative laminae thickness and its error assumed to be 0."
229,"ATM-7 (entity_id = 507): Differences in precision between stable isotope depths (depth_sample) reported to +/- 5 microns (based on the micromilling system) and lamina midpoint depths (depth_lam) reported to +/- 100 microns (based on microsampling and microscopy) result in offsets that are well within the age model error."
232,"Rio Secreto cave (site_id = 232) coordinates are inexact (nearby village).  The Holocene part of Itzamna (entity_id = 510) was published in Medina-Elizalde et al. (2016) and its age-depth model is based on ""a piecewise-linear model to account for an apparent slight non-linearity in stalagmite growth between sample_depth 57 and 86 mm "". The glacial part of Itzamna (entity_id = 510) was published in Medina-Elizalde et al. (2017). "
233,"Age model of KR1 (entity_id = 511) differs from original publication by 0-33 years and reports the mean of the individual ages per depth. The AM uncertainty was calculated as the maximum age uncertainty for each isotopic depth plus the difference between both isotopic ages. KR1 (entity_id = 511)  data not available in original publication and assumed to be the same than other publications from same authors: iso_precision=0.1, date_type = MC-ICPMS, decay_constant = Cheng et al., 2013. This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
234,"St8-a (entity_id = 512) and St8-b (entity_id = 531) are two growth axes of the same stalagmite (St8; not in database) "
238,"MGY (entity_id = 519): calib_used = INTCAL98 assumed and not verified by original author."
240,"Corr_age in AN4 (entity_id = 521) and AN8 (entity_id = 522) are calibrated 14C ages (cal yr BP; 1950 CE) given as the mid-point of the calibrated age range. AN4 (entity_id = 521) and AN8 (entity_id = 522) were collected from two opposite corners of the same cave separated by c.25m. Date with lab_num=PRL-3229 (dating_id = 9624; depth_dating = 80) in AN4 (entity_id = 521) is not on central growth axes and was no used to create the age model."
244,"Entities LH4, LH5 and LH9 (entity_id = 529, 530, 532): All three records completely supersede records in Dong et al. (2015) (https://doi.org/10.1016/j.palaeo.2015.06.013) which are not in the SISAL database."
250,"Laminae counting of WY27 (entity_id = 542) and WY33 (entity_id = 543) constrained by 210Pb dating (samples not in db)."
253,"According to publication, isotopic signal in Hq-1 (entity_id = 546) is exaggerated by kinetic fractionation: magnitude of change not reliable proxy, direction of change likely reliable. Although original publication states continuous growth of STM1 (entity_id = 547), we have identified a possible hiatus between depth_sample = 427.5mm (sample_id = 349662) and depth_sample = 428.5mm (sample_id = 349663)."
254,"The host rock of site PP29 (site_id = 254) is Table Mountain Sandstone, a Paleozoic quartzite. The carbonate sources are overlying Pleistocene calcretes and aeolianites. The age models of 46745, 46746-a, 46747, 138862.1, 139962.2a, 142828, 46746-b, 138862.2b (entity_id = 549, 550, 551, 552, 553, 554, 555, 556) are based on ages not corrected for detrital thorium. The age model for 46747 (entity_id = 551) has been corrected from publication to use the correct depth_dating = 22mm for dating_id = 9929 (the depth used in the published age model was 21mm by mistake)."
255,"The Isochron age (dating_id = 9972) is used in the original OXCAL age model and its use is recommended to recalculate the age model. If original chemistry is required to recalculate corrected ages then the axis age (dating_id = 9968 at depth_dating = 813.7mm) is an acceptable alternative to the isochron age."
256,"Only U/Th dates with lab_num=LFG 2k (dating_id = 10003) and lab_num=LFG 2l (dating_id = 10004), were corrected because of their low 230/232Th ratios."
257,"2p (entity_id = 559): Original publication suggests a laminae age uncertainty of +/-2-3%."
258,"STAL-B7-7 (entity_id=560) has unclear U isotope notation in the original paper (dU). Because of this, U isotope data is missing in the dating table."
259,"Entity PA-8 (entity_id = 561): Some U-Th ages are outside the range of the isototpe sampling. The published age model was created using laminae data not provided here."
260,"The identification of calcite layers in CA (entity_id = 562) is approximate because a proper mineralogical study has not been done."
270,"Entity GZ-14-1 (entity_id = 574) is located at the back of the cave. Bedrock of site_id = 270 is tertiary in age (period not specified)."
273,"Entity CRC-3 (entity_id = 577): Two different values of the atm ratio used to correct U/Th ages are provided in the original publication."
275,"Entity BG6LR (entity_id = 587): Sampling gap between sample_id 363143 and 363144 (depth = 254.5 and 764.5)."
276,"The ages between detph_dating = 3.4mm and depth_dating = 19.65 mm in entity BNT-2 (entity_id = 613) were obtained by fitting the measured pMC values to the IntCal13 (Reimer et al., 2013) dataset. This approach defined the 5% dead carbon applied in deeper sections. See publication for details."
277,"PeruMIS6Composite (entity_id = 602) created from splicing three original records: P09-H1b (entity_id = 599), P10-H5 (entity_id = 600) and P10-H2 (entity_id = 601)."
278,"PP1 (entity_id = 613)  data not available in original publication and assumed to be the same than other publications from same authors: iso_precision=0.1; decay_constant=Cheng et al., 2000. Mineralogy inferred from U content. Some U/Th dates were measured twice and the weighted average was used for the age model (samples with lab_num ending with ""_wa""). The individual U/Th dates were hence set to date_used = no."
279,"The host rock of Staircase (site_id = 279) is Table Mountain Sandstone, a Paleozoic quartzite. The carbonate sources are overlying Pleistocene calcretes and aeolianites. The age models of 46322, 46330-a, 46330-b, 46861, 50100, 142819, 142820 (entity_id = 624, 625, 630, 626, 627, 628, 629) are based on ages not corrected for detrital thorium."
280,"Entity AH-1 (entity_id = 639): Original age model not in the database because of the existence of age inversions. The sisal_chronologies for entity_id = 639 were run manually."
281,"ISO-1 (dating_depth = 0mm, dating_id = 11393) from entity V1 (entity_id = 640) is derived from isochron subsamples A (dating_id = 11390), B (dating_id = 11391) and C (dating_id = 11392). ISO-2 (dating_depth = 314.5mm, dating_id = 11402) from entity V1 (entity_id = 640) is age derived from isochron subsamples 124 (dating_id = 11399), 125 (dating_id = 11400) and 126 (dating_id = 11401). ISO-1 (dating_id = 11393) and ISO-2 (dating_id = 11402) were corrected with the initial 230Th/232Th ratio derived from the isochrones. For the other non-isochron samples, the authors chose an initial 230Th/232Th ratio between both isochrones. Age model of entity V1 (entity_id = 640) constructed using a fifth-order polynomial visually weighted to follow the most robust age determinations."
282,"Entity WS-5d (entity_id = 691) does not have age model in original publication. The sisal_chronologies for entity_id = 691 were run manually"
286,"The elevation of the cave (85 masl) differs with the elevation of the lower gallery from which La Garma speleothems were collected (59 masl). The C14 data (not provided here) is available in Rudzka et al., 2011 (10.1016/j.gca.2011.05.022). GAR-01_drill (entity_id=650) and GAR-01_laser data (entity_id= 651 and 652) were obtained from GAR-01 stalagmite using a handheld conventional drill (drill) at ~2.2 mm spatial resolution and by laser ablation (LA-GC-IRMS) with a ~500 micron resolution. GAR-01_laser_d13C (entity_id=652) and GAR-01_laser_d18O (entity_id=651) series are treated separately in the database because there is a small non-constant offset in the corresponding age-depth models. Baldini et al., 2015 (10.1016/j.epsl.2015.03.015) used the StalAge Algorithm but the ages determined using COPRA are provided here. There is excellent agreement between the two age models over the Younger Dryas Interval (see Baldini et al., QSR, in review).   "
287,"Entity TF-2 (entity_id = 653): Dating information at 195mm (dating_id = 11564) is not published. Primary data sheet supplied to SISAL has TIMS ages at 33mm (dating_id = 11562) and 130mm (dating_id=11563) that appear 4 years younger than what is published in Williams et al., 2005. The latter have been used here."
288,"WN-4 (entity_id = 654): The dating_id=11567 at 205mm used to calculate interp_age differs from published data by 18 years. WN-11 (entity_id = 655): There is a discrepancy of up to 5 years in the corr_ages with respect to published values. The corr_ages presented here are those used to create the original_chronology fields."
292,"Entity KTR-2 (entity_id = 671): Despite the mentioned presumed minor hiatus in the original paper, this has not been added here following authors' suggestion. The thickness of the limestone varies from a few tens to a few hundred meters, see original reference. According to Peter Rowe, a negative age uncertainty of -39 yrs  was erroneously reported by StalAge at interp_age 10642.62 yr BP (dating_id = 400608). This has not been entered here."
293,"Entity TM-17 (entity_id = 672): U/Th date at 27mm (dating_id = 11833) was not used in age model due to high uncertainty. The chronology was constructed from continuous Sr laminae anchored to the U-Th dates. Age-depth model uncertainties include the layer counting errors as well as the average LC error of 3% propagated between the U-Th error bars (see supplementary material of publication for details). Corrected ages assume the initial 230Th/232Th atomic ratio of 5.38 with a positive uncertainty of 5.38 and a negative uncertainty of 4.84 ppm. "
294,"Entity PA-2b (entity_id = 684): Isotope samples at 127 and 127.5mm removed because of their proximity to the hiatus at 127.25 mm. "
