ref_id,citation,publication_DOI
98,"Li, H.-C., Lee, Z.-H., Wan, N.-J., Shen, C.-C., Li, T.-Y., Yuan, D.-X. and Chen, Y.-H.: The δ18O and δ13C records in an aragonite stalagmite from Furong Cave, Chongqing, China: A-2000-year record of monsoonal climate, J. Asian Earth Sci., 40(6), 1121–1130, 2011.",10.1016/j.jseaes.2010.06.011
99,"Ruan, J., Kherbouche, F., Genty, D., Blamart, D., Cheng, H., Dewilde, F., Hachi, S., Edwards, R. L., Régnier, E. and Michelot, J.-L.: Evidence of a prolonged drought ca. 4200 yr BP correlated with prehistoric settlement abandonment from the Gueldaman GLD1 Cave, Northern Algeria, Clim. Past, 12(1), 1–14, 2016.",10.5194/cp-12-1-2016
100,"Whittaker, T. E., Hendy, C. H. and Hellstrom, J. C.: Abrupt millennial-scale changes in intensity of Southern Hemisphere westerly winds during marine isotope stages 2–4, Geology, 39(5), 455–458, 2011.",10.1130/g31827.1
101,"Demény, A., Czuppon, G., Siklósy, Z., Leél-Őssy, S., Lin, K., Shen, C.-C. and Gulyás, K.: Mid-Holocene climate conditions and moisture source variations based on stable H, C and O isotope compositions of speleothems in Hungary, Quat. Int., 293, 150–156, 2013.",10.1016/j.quaint.2012.05.035
102,"Akers, P. D., Brook, G. A., Railsback, L. B., Liang, F., Iannone, G., Webster, J. W., Reeder, P. P., Cheng, H. and Edwards, R. L.: An extended and higher-resolution record of climate and land use from stalagmite MC01 from Macal Chasm, Belize, revealing connections between major dry events, overall climate variability, and Maya sociopolitical changes, Palaeogeogr. Palaeoclimatol. Palaeoecol., 459, 268–288, 2016.",10.1016/j.palaeo.2016.07.007
103,"Webster, J. W., Brook, G. A., Railsback, L. B., Cheng, H., Edwards, R. L., Alexander, C. and Reeder, P. P.: Stalagmite evidence from Belize indicating significant droughts at the time of Preclassic Abandonment, the Maya Hiatus, and the Classic Maya collapse, Palaeogeogr. Palaeoclimatol. Palaeoecol., 250(1–4), 1–17, 2007.",10.1016/j.palaeo.2007.02.022
104,"Rudzka, D., Mcdermott, F. and Surić, M.: A late Holocene climate record in stalagmites from Modrič Cave (Croatia), J. Quat. Sci., 27(6), 585–596, 2012.",10.1002/jqs.2550
105,"Moreno, A., Stoll, H., Jiménez-Sánchez, M., Cacho, I., Valero-Garcés, B., Ito, E. and Edwards, R. L.: A speleothem record of glacial (25–11.6kyr BP) rapid climatic changes from northern Iberian Peninsula, Glob. Planet. Change, 71(3–4), 218–231, 2010.",10.1016/j.gloplacha.2009.10.002
106,"Rudzka, D., McDermott, F., Baldini, L. M., Fleitmann, D., Moreno, A. and Stoll, H.: The coupled δ13C-radiocarbon systematics of three Late Glacial/early Holocene speleothems; insights into soil and cave processes at climatic transitions, Geochim. Cosmochim. Acta, 75(15), 4321–4339, 2011.",10.1016/j.gca.2011.05.022
107,"Mattey, D., Lowry, D., Duffet, J., Fisher, R., Hodge, E. and Frisia, S.: A 53~year seasonally resolved oxygen and carbon isotope record from a modern Gibraltar speleothem: Reconstructed drip water and relationship to local precipitation, Earth Planet. Sci. Lett., 269(1–2), 80–95, 2008.",10.1016/j.epsl.2008.01.051
108,"Mattey, D. P., Fairchild, I. J., Atkinson, T. C., Latin, J.-P., Ainsworth, M. and Durell, R.: Seasonal microclimate control of calcite fabrics, stable isotopes and trace elements in modern speleothem from St Michaels Cave, Gibraltar, Geol. Soc. London, Spec. Publ., 336(1), 323–344, 2010.",10.1144/sp336.17
109,"Siklósy, Z., Demény, A., Vennemann, T. W., Pilet, S., Kramers, J., Leél-Őssy, S., Bondár, M., Shen, C.-C. and Hegner, E.: Bronze Age volcanic event recorded in stalagmites by combined isotope and trace element studies, Rapid Commun. Mass Spectrom., 23(6), 801–808, 2009.",10.1002/rcm.3943
110,"Demény, A., Kern, Z., Czuppon, G., Németh, A., Schöll-Barna, G., Siklósy, Z., Leél-Őssy, S., Cook, G., Serlegi, G., Bajnóczi, B., Sümegi, P., Király, Á., Kiss, V., Kulcsár, G. and Bondár, M.: Middle Bronze Age humidity and temperature variations, and societal changes in East-Central Europe, Quat. Int., 2017.",10.1016/j.quaint.2017.11.023
111,"Onac, B. P., Constantin, S., Lundberg, J. and Lauritzen, S.-E.: Isotopic climate record in a Holocene stalagmite from Ursilor Cave (Romania), J. Quat. Sci., 17(4), 319–327, 2002.",10.1002/jqs.685
112,"Yuan, D.: Timing, Duration, and Transitions of the Last Interglacial Asian Monsoon, Science, 304(5670), 575–578, 2004.",10.1126/science.1091220
113,"Fohlmeister, J., Plessen, B., Dudashvili, A. S., Tjallingii, R., Wolff, C., Gafurov, A. and Cheng, H.: Winter precipitation changes during the Medieval Climate Anomaly and the Little Ice Age in arid Central Asia, Quat. Sci. Rev., 178, 24–36, 2017.",10.1016/j.quascirev.2017.10.026
114,"Burns, S. J., Godfrey, L. R., Faina, P., McGee, D., Hardt, B., Ranivoharimanana, L. and Randrianasy, J.: Rapid human-induced landscape transformation in Madagascar at the end of the first millennium of the Common Era, Quat. Sci. Rev., 134, 92–99, 2016.",10.1016/j.quascirev.2016.01.007
115,"Scroxton, N., Burns, S. J., McGee, D., Hardt, B., Godfrey, L. R., Ranivoharimanana, L. and Faina, P.: Hemispherically in-phase precipitation variability over the last 1700 years in a Madagascar speleothem record, Quat. Sci. Rev., 164, 25–36, 2017.",10.1016/j.quascirev.2017.03.017
116,"Voarintsoa, N. R. G., Wang, L., Railsback, L. B., Brook, G. A., Liang, F., Cheng, H. and Edwards, R. L.: Multiple proxy analyses of a U/Th-dated stalagmite to reconstruct paleoenvironmental changes in northwestern Madagascar between 370CE and 1300CE, Palaeogeogr. Palaeoclimatol. Palaeoecol., 469, 138–155, 2017.",10.1016/j.palaeo.2017.01.003
117,"Pollock, A. L., van Beynen, P. E., DeLong, K. L., Polyak, V. and Asmerom, Y.: A speleothem-based mid-Holocene precipitation reconstruction for West-Central Florida, The Holocene, 27(7), 987–996, 2016.",10.1177/0959683616678463
118,"Baldini, J., McDermott, F., Baker, A., Baldini, L., Mattey, D. and Railsback, L.: Biomass effects on stalagmite growth and isotope ratios: A 20th century analogue from Wiltshire, England, Earth Planet. Sci. Lett., 240(2), 486–494, 2005.",10.1016/j.epsl.2005.09.022
119,"Columbu, A., Drysdale, R., Capron, E., Woodhead, J., Waele, J. De, Sanna, L., Hellstrom, J. and Bajo, P.: Early last glacial intra-interstadial climate variability recorded in a Sardinian speleothem, Quat. Sci. Rev., 169, 391–397, 2017.",10.1016/j.quascirev.2017.05.007
120,"McDermott, F.: Centennial-Scale Holocene Climate Variability Revealed by a High-Resolution Speleothem delta 18O Record from SW Ireland, Science (80-. )., 294(5545), 1328–1331, 2001.",10.1126/science.1063678
121,"Sletten, H. R., Railsback, L. B., Liang, F., Brook, G. A., Marais, E., Hardt, B. F., Cheng, H. and Edwards, R. L.: A petrographic and geochemical record of climate change over the last 4600years from a northern Namibia stalagmite, with evidence of abruptly wetter climate at the beginning of southern Africa’s Iron Age, Palaeogeogr. Palaeoclimatol. Palaeoecol., 376, 149–162, 2013.",10.1016/j.palaeo.2013.02.030
122,"Voarintsoa, N. R. G., Brook, G. A., Liang, F., Marais, E., Hardt, B., Cheng, H., Edwards, R. L. and Railsback, L. B.: Stalagmite multi-proxy evidence of wet and dry intervals in northeastern Namibia: Linkage to latitudinal shifts of the Inter-Tropical Convergence Zone and changing solar activity from AD 1400 to 1950, The Holocene, 27(3), 384–396, 2017.",10.1177/0959683616660170
123,"Boch, R., Spötl, C. and Kramers, J.: High-resolution isotope records of early Holocene rapid climate change from two coeval stalagmites of Katerloch Cave, Austria, Quat. Sci. Rev., 28(23–24), 2527–2538, 2009.",10.1016/j.quascirev.2009.05.015
124,"Boch, R. and Spötl, C.: Reconstructing palaeoprecipitation from an active cave flowstone, J. Quat. Sci., 26(7), 675–687, 2011.",10.1002/jqs.1490
125,"Sundqvist, H. S., Holmgren, K., Moberg, A., Spötl, C. and Mangini, A.: Stable isotopes in a stalagmite from NW Sweden document environmental changes over the past 4000 years, Boreas, 39(1), 77–86, 2010.",10.1111/j.1502-3885.2009.00099.x
126,"Griffiths, M. L., Kimbrough, A. K., Gagan, M. K., Drysdale, R. N., Cole, J. E., Johnson, K. R., Zhao, J.-X., Cook, B. I., Hellstrom, J. C. and Hantoro, W. S.: Western Pacific hydroclimate linked to global climate variability over the past two millennia, Nat. Commun., 7, 11719, 2016.",10.1038/ncomms11719
127,"Moseley, G. E., Spötl, C., Cheng, H., Boch, R., Min, A. and Edwards, R. L.: Termination-II interstadial/stadial climate change recorded in two stalagmites from the north European Alps, Quat. Sci. Rev., 127, 229–239, 2015.",10.1016/j.quascirev.2015.07.012
128,"Bartolomé, M., Moreno, A., Sancho, C., Stoll, H. M., Cacho, I., Spötl, C., Belmonte, Á., Edwards, R. L., Cheng, H. and Hellstrom, J. C.: Hydrological change in Southern Europe responding to increasing North Atlantic overturning during Greenland Stadial 1, Proc. Natl. Acad. Sci., 112(21), 6568–6572, 2015.",10.1073/pnas.1503990112
129,"Kennett, D. J., Breitenbach, S. F. M., Aquino, V. V, Asmerom, Y., Awe, J., Baldini, J. U. L., Bartlein, P., Culleton, B. J., Ebert, C., Jazwa, C., Macri, M. J., Marwan, N., Polyak, V., Prufer, K. M., Ridley, H. E., Sodemann, H., Winterhalder, B. and Haug, G. H.: Development and Disintegration of Maya Political Systems in Response to Climate Change, Science (80-. )., 338(6108), 788–791, 2012.",10.1126/science.1226299
130,"Ridley, H. E., Asmerom, Y., Baldini, J. U. L., Breitenbach, S. F. M., Aquino, V. V, Prufer, K. M., Culleton, B. J., Polyak, V., Lechleitner, F. A., Kennett, D. J., Zhang, M., Marwan, N., Macpherson, C. G., Baldini, L. M., Xiao, T., Peterkin, J. L., Awe, J. and Haug, G. H.: Aerosol forcing of the position of the intertropical convergence zone since ad 1550, Nat. Geosci., 8(3), 195–200, 2015.",10.1038/ngeo2353
131,"Plagnes, V., Causse, C., Genty, D., Paterne, M. and Blamart, D.: A discontinuous climatic record from 187 to 74 ka from a speleothem of the Clamouse Cave (south of France), Earth Planet. Sci. Lett., 201(1), 87–103, 2002.",10.1016/s0012-821x(02)00674-x
132,"Moreno, A., Pérez-Mejías, C., Bartolomé, M., Sancho, C., Cacho, I., Stoll, H., Delgado-Huertas, A., Hellstrom, J., Edwards, R. L. and Cheng, H.: New speleothem data from Molinos and Ejulve caves reveal Holocene hydrological variability in northeast Iberia, Quat. Res., 88(2), 223–233, 2017.",10.1017/qua.2017.39
133,"Muñoz, A., Bartolomé, M., Muñoz, A., Sancho, C., Moreno, A., Hellstrom, J. C., Osácar, M. C. and Cacho, I.: Solar influence and hydrological variability during the Holocene from a speleothem annual record (Molinos Cave, NE Spain), Terra Nov., 27(4), 300–311, 2015.",10.1111/ter.12160
134,"Vaks, A., Bar-Matthews, M., Ayalon, A., Schilman, B., Gilmour, M., Hawkesworth, C. J., Frumkin, A., Kaufman, A. and Matthews, A.: Paleoclimate reconstruction based on the timing of speleothem growth and oxygen and carbon isotope composition in a cave located in the rain shadow in Israel, Quat. Res., 59(2), 182–193, 2003.",10.1016/s0033-5894(03)00013-9
135,"Li, T., Yuan, D., Li, H., Yang, Y., Wang, J., Wang, X., Li, J., Qin, J., Zhang, M. and Lin, Y.: High-resolution climate variability of southwest China during 57–70 ka reflected in a stalagmite δ 18O record from Xinya Cave, Sci. China Ser. D Earth Sci., 50(8), 1202–1208, 2007.",10.1007/s11430-007-0059-z
136,"Li, J.-Y., Li, H.-C., Li, T.-Y., Mii, H.-S., Yu, T.-L., Shen, C.-C. and Xu, X.: High-resolution δ 18 O and δ 13 C records of an AMS 14 C and 230 Th/U dated stalagmite from Xinya Cave in Chongqing: Climate and vegetation change during the late Holocene, Quat. Int., 447, 75–88, 2017.",10.1016/j.quaint.2017.06.075
137,"Griffiths, M. L., Drysdale, R. N., Gagan, M. K., Zhao, J. -x., Ayliffe, L. K., Hellstrom, J. C., Hantoro, W. S., Frisia, S., Feng, Y. -x., Cartwright, I., Pierre, E. St., Fischer, M. J. and Suwargadi, B. W.: Increasing Australian–Indonesian monsoon rainfall linked to early Holocene sea-level rise, Nat. Geosci., 2(9), 636–639, 2009.",10.1038/ngeo605
138,"Lewis, S. C., Gagan, M. K., Ayliffe, L. K., Zhao, J., Hantoro, W. S., Treble, P. C., Hellstrom, J. C., LeGrande, A. N., Kelley, M., Schmidt, G. A. and Suwargadi, B. W.: High-resolution stalagmite reconstructions of Australian–Indonesian monsoon rainfall variability during Heinrich stadial 3 and Greenland interstadial 4, Earth Planet. Sci. Lett., 303(1–2), 133–142, 2011.",10.1016/j.epsl.2010.12.048
139,"Griffiths, M. L., Drysdale, R. N., Gagan, M. K., Hellstrom, J. C., Couchoud, I., Ayliffe, L. K., Vonhof, H. B. and Hantoro, W. S.: Australasian monsoon response to Dansgaard–Oeschger event 21 and teleconnections to higher latitudes, Earth Planet. Sci. Lett., 369–370, 294–304, 2013.",10.1016/j.epsl.2013.03.030
140,"Asrat, A., Baker, A., Mohammed, M. U., Leng, M. J., Calsteren, P. Van and Smith, C.: A high-resolution multi-proxy stalagmite record from Mechara, Southeastern Ethiopia: palaeohydrological implications for speleothem palaeoclimate reconstruction, J. Quat. Sci., 22(1), 53–63, 2006.",10.1002/jqs.1013
141,"Moseley, G. E., Spötl, C., Svensson, A., Cheng, H., Brandstätter, S. and Edwards, R. L.: Multi-speleothem record reveals tightly coupled climate between central Europe and Greenland during Marine Isotope Stage 3, Geology, 42(12), 1043–1046, 2014.",10.1130/g36063.1
143,"Chen, S., Hoffmann, S. S., Lund, D. C., Cobb, K. M., Emile-Geay, J. and Adkins, J. F.: A high-resolution speleothem record of western equatorial Pacific rainfall: Implications for Holocene ENSO evolution, Earth Planet. Sci. Lett., 442, 61–71, 2016.",10.1016/j.epsl.2016.02.050
144,"Fohlmeister, J., Schröder-Ritzrau, A., Scholz, D., Spötl, C., Riechelmann, D. F. C., Mudelsee, M., Wackerbarth, A., Gerdes, A., Riechelmann, S., Immenhauser, A., Richter, D. K. and Mangini, A.: Bunker Cave stalagmites: an archive for central European Holocene climate variability, Clim. Past, 8(5), 1751–1764, 2012.",10.5194/cp-8-1751-2012
145,"Carolin, S. A., Cobb, K. M., Lynch-Stieglitz, J., Moerman, J. W., Partin, J. W., Lejau, S., Malang, J., Clark, B., Tuen, A. A. and Adkins, J. F.: Northern Borneo stalagmite records reveal West Pacific hydroclimate across MIS 5 and 6, Earth Planet. Sci. Lett., 439, 182–193, 2016.",10.1016/j.epsl.2016.01.028
146,"Smith, A. C., Wynn, P. M., Barker, P. A., Leng, M. J., Noble, S. R. and Tych, W.: North Atlantic forcing of moisture delivery to Europe throughout the Holocene, Sci. Rep., 6(1), 2016.",10.1038/srep24745
148,"Pérez-Mejías, C., Moreno, A., Sancho, C., Bartolomé, M., Stoll, H., Cacho, I., Cheng, H. and Edwards, R. L.: Abrupt climate changes during Termination III in Southern Europe, Proc. Natl. Acad. Sci., 114(38), 10047–10052, 2017.",10.1073/pnas.1619615114
149,"Meyer, M. C., Spötl, C. and Mangini, A.: The demise of the Last Interglacial recorded in isotopically dated speleothems from the Alps, Quat. Sci. Rev., 27(5–6), 476–496, 2008.",10.1016/j.quascirev.2007.11.005
150,"Hu, C., Henderson, G. M., Huang, J., Xie, S., Sun, Y. and Johnson, K. R.: Quantification of Holocene Asian monsoon rainfall from spatially separated cave records, Earth Planet. Sci. Lett., 266(3–4), 221–232, 2008.",10.1016/j.epsl.2007.10.015
151,"Liu, Y.-H., Henderson, G. M., Hu, C.-Y., Mason, A. J., Charnley, N., Johnson, K. R. and Xie, S.-C.: Links between the East Asian monsoon and North Atlantic climate during the 8,200 year event, Nat. Geosci., 6(2), 117–120, 2013.",10.1038/ngeo1708
152,"Luetscher, M., Hoffmann, D. L., Frisia, S. and Spötl, C.: Holocene glacier history from alpine speleothems, Milchbach cave, Switzerland, Earth Planet. Sci. Lett., 302(1–2), 95–106, 2011.",10.1016/j.epsl.2010.11.042
153,"Lachniet, M. S., Asmerom, Y. and Polyak, V.: Deglacial paleoclimate in the southwestern United States: an abrupt 18.6~ka cold event and evidence for a North Atlantic forcing of Termination I, Quat. Sci. Rev., 30(27–28), 3803–3811, 2011.",10.1016/j.quascirev.2011.09.022
154,"Häuselmann, A. D., Fleitmann, D., Cheng, H., Tabersky, D., Günther, D. and Edwards, R. L.: Timing and nature of the penultimate deglaciation in a high alpine stalagmite from Switzerland, Quat. Sci. Rev., 126, 264–275, 2015.",10.1016/j.quascirev.2015.08.026
155,"Spötl, C., Scholz, D. and Mangini, A.: A terrestrial U/Th-dated stable isotope record of the Penultimate Interglacial, Earth Planet. Sci. Lett., 276(3–4), 283–292, 2008.",10.1016/j.epsl.2008.09.029
156,"Joshi, L. M., Kotlia, B. S., Ahmad, S. M., Wu, C.-C., Sanwal, J., Raza, W., Singh, A. K., Shen, C.-C., Long, T. and Sharma, A. K.: Reconstruction of Indian monsoon precipitation variability between 4.0 and 1.6 ka BP using speleothem δ18O records from the Central Lesser Himalaya, India, Arab. J. Geosci., 10(16), 356, 2017.",10.1007/s12517-017-3141-7
157,"Cai, Y., Fung, I. Y., Edwards, R. L., An, Z., Cheng, H., Lee, J.-E., Tan, L., Shen, C.-C., Wang, X., Day, J. A., Zhou, W., Kelly, M. J. and Chiang, J. C. H.: Variability of stalagmite-inferred Indian monsoon precipitation over the past 252,000 y, Proc. Natl. Acad. Sci., 112(10), 2954–2959, 2015.",10.1073/pnas.1424035112
158,"Hardt, B., Rowe, H. D., Springer, G. S., Cheng, H. and Edwards, R. L.: The seasonality of east central North American precipitation based on three coeval Holocene speleothems from southern West Virginia, Earth Planet. Sci. Lett., 295(3–4), 342–348, 2010.",10.1016/j.epsl.2010.04.002
159,"Springer, G. S., Rowe, H. D., Hardt, B., Cheng, H. and Edwards, R. L.: East central North America climates during marine isotope stages 3-5, Geophys. Res. Lett., 41(9), 3233–3237, 2014.",10.1002/2014gl059884
160,"Frisia, S., Borsato, A., Mangini, A., Spötl, C., Madonia, G. and Sauro, U.: Holocene Climate Variability in Sicily from a Discontinuous Stalagmite Record and the Mesolithic to Neolithic Transition, Quat. Res., 66(3), 388–400, 2006.",10.1016/j.yqres.2006.05.003
161,"Berkelhammer, M., Sinha, A., Mudelsee, M., Cheng, H., Edwards, R. L. and Cannariato, K.: Persistent multidecadal power of the Indian Summer Monsoon, Earth Planet. Sci. Lett., 290(1–2), 166–172, 2010.",10.1016/j.epsl.2009.12.017
162,"Sinha, A., Cannariato, K. G., Stott, L. D., Cheng, H., Edwards, R. L., Yadava, M. G., Ramesh, R. and Singh, I. B.: A 900-year (600 to 1500 A.D.) record of the Indian summer monsoon precipitation from the core monsoon zone of India, Geophys. Res. Lett., 34(16), 2007.",10.1029/2007gl030431
163,"Scholz, D., Frisia, S., Borsato, A., Spötl, C., Fohlmeister, J., Mudelsee, M., Miorandi, R. and Mangini, A.: Holocene climate variability in north-eastern Italy: potential influence of the NAO and solar activity recorded by speleothem data, Clim. Past, 8(4), 1367–1383, 2012.",10.5194/cp-8-1367-2012
164,"Spötl, C., Mangini, A. and Richards, D. A.: Chronology and paleoenvironment of Marine Isotope Stage 3 from two high-elevation speleothems, Austrian Alps, Quat. Sci. Rev., 25(9–10), 1127–1136, 2006.",10.1016/j.quascirev.2005.10.006
165,"Drysdale, R., Zanchetta, G., Hellstrom, J., Maas, R., Fallick, A., Pickett, M., Cartwright, I. and Piccini, L.: Late Holocene drought responsible for the collapse of Old World civilizations is recorded in an Italian cave flowstone, Geology, 34(2), 101, 2006.",10.1130/g22103.1
166,"Finné, M., Holmgren, K., Shen, C.-C., Hu, H.-M., Boyd, M. and Stocker, S.: Late Bronze Age climate change and the destruction of the Mycenaean Palace of Nestor at Pylos, edited by J. P. Hart, PLoS One, 12(12), e0189447, 2017.",10.1371/journal.pone.0189447
167,"Wagner, J. D. M., Cole, J. E., Beck, J. W., Patchett, P. J., Henderson, G. M. and Barnett, H. R.: Moisture variability in the southwestern United States linked to abrupt glacial climate change, Nat. Geosci., 3(2), 110–113, 2010.",10.1038/ngeo707
169,"Lachniet, M. S., Bernal, J. P., Asmerom, Y., Polyak, V. and Piperno, D.: A 2400 yr Mesoamerican rainfall reconstruction links climate and cultural change, Geology, 40(3), 259–262, 2012.",10.1130/g32471.1
170,"Lachniet, M. S., Asmerom, Y., Bernal, J. P., Polyak, V. J. and Vazquez-Selem, L.: Orbital pacing and ocean circulation-induced collapses of the Mesoamerican monsoon over the past 22,000 y, Proc. Natl. Acad. Sci., 110(23), 9255–9260, 2013.",10.1073/pnas.1222804110
171,"Lachniet, M. S., Asmerom, Y., Polyak, V. and Bernal, J. P.: Two millennia of Mesoamerican monsoon variability driven by Pacific and Atlantic synergistic forcing, Quat. Sci. Rev., 155, 100–113, 2017.",10.1016/j.quascirev.2016.11.012
172,"Baker, J. L., Lachniet, M. S., Chervyatsova, O., Asmerom, Y. and Polyak, V. J.: Holocene warming in western continental Eurasia driven by glacial retreat and greenhouse forcing, Nat. Geosci., 10(6), 430–435, 2017.",10.1038/ngeo2953
173,"Shakun, J. D., Burns, S. J., Fleitmann, D., Kramers, J., Matter, A. and Al-Subary, A.: A high-resolution, absolute-dated deglacial speleothem record of Indian Ocean climate from Socotra Island, Yemen, Earth Planet. Sci. Lett., 259(3–4), 442–456, 2007.",10.1016/j.epsl.2007.05.004
174,"Ersek, V., Clark, P. U., Mix, A. C., Cheng, H. and Edwards, R. L.: Holocene winter climate variability in mid-latitude western North America, Nat. Commun., 3(1), 2012.",10.1038/ncomms2222
175,"Dong, J., Wang, Y., Cheng, H., Hardt, B., Edwards, R. L., Kong, X., Wu, J., Chen, S., Liu, D., Jiang, X. and Zhao, K.: A high-resolution stalagmite record of the Holocene East Asian monsoon from Mt Shennongjia, central China, The Holocene, 20(2), 257–264, 2010.",10.1177/0959683609350393
176,"Cheng, H., Edwards, R. L., Sinha, A., Spötl, C., Yi, L., Chen, S., Kelly, M., Kathayat, G., Wang, X., Li, X., Kong, X., Wang, Y., Ning, Y. and Zhang, H.: The Asian monsoon over the past 640, 000 years and ice age terminations, Nature, 534(7609), 640–646, 2016.",10.1038/nature18591
177,"Fleitmann, D., Cheng, H., Badertscher, S., Edwards, R. L., Mudelsee, M., Göktürk, O. M., Fankhauser, A., Pickering, R., Raible, C. C., Matter, A., Kramers, J. and Tüysüz, O.: Timing and climatic impact of Greenland interstadials recorded in stalagmites from northern Turkey, Geophys. Res. Lett., 36(19), 2009.",10.1029/2009gl040050
178,"Cai, Y., Cheng, H., An, Z., Edwards, R. L., Wang, X., Tan, L. and Wang, J.: Large variations of oxygen isotopes in precipitation over south-central Tibet during Marine Isotope Stage 5, Geology, 38(3), 243–246, 2010.",10.1130/g30306.1
179,"Cai, Y., Zhang, H., Cheng, H., An, Z., Lawrence Edwards, R., Wang, X., Tan, L., Liang, F., Wang, J., Kelly, M., Edwards, R. L., Wang, X., Tan, L., Liang, F., Wang, J. and Kelly, M.: The Holocene Indian monsoon variability over the southern Tibetan Plateau and its teleconnections, Earth Planet. Sci. Lett., 335–336, 135–144, 2012.",10.1016/j.epsl.2012.04.035
180,"Railsback, L. B., Liang, F., Vidal Romaní, J. R., Grandal-d’Anglade, A., Vaqueiro Rodríguez, M., Santos Fidalgo, L., Fernández Mosquera, D., Cheng, H. and Edwards, R. L.: Petrographic and isotopic evidence for Holocene long-term climate change and shorter-term environmental shifts from a stalagmite from the Serra do Courel of northwestern Spain, and implications for climatic history across Europe and the Mediterranean, Palaeogeogr. Palaeoclimatol. Palaeoecol., 305(1–4), 172–184, 2011.",10.1016/j.palaeo.2011.02.030
181,"Bernal, J. P., Cruz, F. W., Stríkis, N. M., Wang, X., Deininger, M., Catunda, M. C. A., Ortega-Obregón, C., Cheng, H., Edwards, R. L. and Auler, A. S.: High-resolution Holocene South American monsoon history recorded by a speleothem from Botuverá Cave, Brazil, Earth Planet. Sci. Lett., 450, 186–196, 2016.",10.1016/j.epsl.2016.06.008
182,"Cruz, F. W., Burns, S. J., Karmann, I., Sharp, W. D., Vuille, M., Cardoso, A. O., Ferrari, J. A., Dias, P. L. S. and Viana, O.: Insolation-driven changes in atmospheric circulation over the past 116,000 years in subtropical Brazil, Nature, 434(7029), 63–66, 2005.",10.1038/nature03365
183,"Drysdale, R. N., Zanchetta, G., Hellstrom, J. C., Fallick, A. E., Zhao, J., Isola, I. and Bruschi, G.: Palaeoclimatic implications of the growth history and stable isotope (δ18O and δ13C) geochemistry of a Middle to Late Pleistocene stalagmite from central-western Italy, Earth Planet. Sci. Lett., 227(3–4), 215–229, 2004.",10.1016/j.epsl.2004.09.010
184,"Drysdale, R. N., Zanchetta, G., Hellstrom, J. C., Fallick, A. E. and Zhao, J.: Stalagmite evidence for the onset of the Last Interglacial in southern Europe at 129 ± 1 ka, Geophys. Res. Lett., 32(24), L24708, 2005.",10.1029/2005gl024658
185,"Drysdale, R. N., Zanchetta, G., Hellstrom, J. C., Fallick, A. E., McDonald, J. and Cartwright, I.: Stalagmite evidence for the precise timing of North Atlantic cold events during the early last glacial, Geology, 35(1), 77, 2007.",10.1130/g23161a.1
186,"Drysdale, R. N., Hellstrom, J. C., Zanchetta, G., Fallick, A. E., Sanchez Goni, M. F., Couchoud, I., McDonald, J., Maas, R., Lohmann, G. and Isola, I.: Evidence for Obliquity Forcing of Glacial Termination II, Science (80-. )., 325(5947), 1527–1531, 2009.",10.1126/science.1170371
187,"Partin, J. W., Cobb, K. M., Adkins, J. F., Clark, B. and Fernandez, D. P.: Millennial-scale trends in west Pacific warm pool hydrology since the Last Glacial Maximum, Nature, 449(7161), 452–455, 2007.",10.1038/nature06164
188,"Polyak, V. J., Asmerom, Y., Burns, S. J. and Lachniet, M. S.: Climatic backdrop to the terminal Pleistocene extinction of North American mammals, Geology, 40(11), 1023–1026, 2012.",10.1130/g33226.1
189,"Asmerom, Y., Polyak, V. J. and Burns, S. J.: Variable winter moisture in the southwestern United States linked to rapid glacial climate shifts, Nat. Geosci., 3(2), 114–117, 2010.",10.1038/ngeo754
190,"Hopley, P. J., Weedon, G. P., Marshall, J. D., Herries, A. I. R., Latham, A. G. and Kuykendall, K. L.: High- and low-latitude orbital forcing of early hominin habitats in South Africa, Earth Planet. Sci. Lett., 256(3–4), 419–432, 2007.",10.1016/j.epsl.2007.01.031
191,"Hopley, P. J., Marshall, J. D., Weedon, G. P., Latham, A. G., Herries, A. I. R. and Kuykendall, K. L.: Orbital forcing and the spread of C4 grasses in the late Neogene: stable isotope evidence from South African speleothems, J. Hum. Evol., 53(5), 620–634, 2007.",10.1016/j.jhevol.2007.03.007
192,"Hellstrom, J., McCulloch, M. and Stone, J.: A Detailed 31,000-Year Record of Climate and Vegetation Change, from the Isotope Geochemistry of Two New Zealand Speleothems, Quat. Res., 50(2), 167–178, 1998.",10.1006/qres.1998.1991
193,"Whittaker, T. E.: High-resolution speleothem-based palaeoclimate records from New Zealand reveal robust teleconnection to North Atlantic during MIS 1-4,  Ph.D. thesis, The University of Waikato., 2008.",https://hdl.handle.net/10289/2575
194,"Neff, U., Burns, S. J., Mangini, A., Mudelsee, M., Fleitmann, D. and Matter, A.: Strong coherence between solar variability and the monsoon in Oman between 9 and 6 kyr ago, Nature, 411(6835), 290–293, 2001.",10.1038/35077048
195,"Cai, Y., Tan, L., Cheng, H., An, Z., Edwards, R. L., Kelly, M. J., Kong, X. and Wang, X.: The variation of summer monsoon precipitation in central China since the last deglaciation, Earth Planet. Sci. Lett., 291(1–4), 21–31, 2010.",10.1016/j.epsl.2009.12.039
